index,frame,F11,F12,F21,F22,P11,P12,P21,P22,vol_square,vol_rectangle_p,vol_rectangle_m,vol_tot,Psi,Psi_me,Psi_couple,len_c,len_s_r_p,len_s_r_m
744,000,1.0010000000e+00,-2.4796909620e-03,2.0155146078e-03,1.0006934000e+00,1.0923523187e-01,-1.0485763806e-05,8.2774932658e-06,1.5122404075e-01,6.0121999314e-01,2.0584876543e-01,1.9293124143e-01,1.0000000000e-04,5.7879604697e-01,-2.1061140920e-02,-4.7917224037e-02,0.04453298617129892,0.03671285197650784,0.03951301484296454
745,000,1.0010000000e+00,-2.4837184820e-03,2.0186114376e-03,1.0006934000e+00,1.0906515134e-01,-1.0422397180e-05,8.2312773535e-06,1.5142263601e-01,6.0112997257e-01,2.0590449246e-01,1.9296553498e-01,1.0000000000e-04,5.7847013672e-01,-2.1066221575e-02,-4.7930487441e-02,0.044515603771185436,0.03671243017390667,0.039528203662945516
746,000,1.0010000000e+00,-2.4877429909e-03,2.0216931069e-03,1.0006934000e+00,1.0889397851e-01,-1.0356297338e-05,8.1852224111e-06,1.5162133848e-01,6.0126371742e-01,2.0588305898e-01,1.9285322359e-01,1.0000000000e-04,5.7814862993e-01,-2.1071157156e-02,-4.7943426860e-02,0.04449808813236244,0.036711124309322996,0.03954306875740908
747,000,1.0010000000e+00,-2.4917658528e-03,2.0247617750e-03,1.0006934000e+00,1.0872174454e-01,-1.0287582169e-05,8.1392826175e-06,1.5182012080e-01,6.0112654321e-01,2.0588305898e-01,1.9299039781e-01,1.0000000000e-04,5.7783113634e-01,-2.1075945447e-02,-4.7956037882e-02,0.0444804598215668,0.03670665062275799,0.039553464489036
748,000,1.0010000000e+00,-2.4957884674e-03,2.0278196920e-03,1.0006934000e+00,1.0854848465e-01,-1.0216368598e-05,8.0934103570e-06,1.5201895477e-01,6.0104509602e-01,2.0593878601e-01,1.9301611797e-01,1.0000000000e-04,5.7751729353e-01,-2.1080584994e-02,-4.7968317739e-02,0.04446270146531889,0.03670247030767848,0.03956333281385952
749,000,1.0010000000e+00,-2.4998122723e-03,2.0308691959e-03,1.0006934000e+00,1.0837423827e-01,-1.0142772267e-05,8.0475564818e-06,1.5221781091e-01,6.0097736626e-01,2.0607510288e-01,1.9294753086e-01,1.0000000000e-04,5.7720676489e-01,-2.1085075023e-02,-4.7980265134e-02,0.044444818492088464,0.03669856123267368,0.039572716435473845
750,000,1.0010000000e+00,-2.5038387439e-03,2.0339127094e-03,1.0006934000e+00,1.0819904911e-01,-1.0066907314e-05,8.0016706330e-06,1.5241665803e-01,6.0088734568e-01,2.0607510288e-01,1.9303755144e-01,1.0000000000e-04,5.7689923776e-01,-2.1089415372e-02,-4.7991880083e-02,0.04442680073860914,0.03669488032013095,0.03958164612725179
751,000,1.0010000000e+00,-2.5078693988e-03,2.0369527380e-03,1.0006934000e+00,1.0802296523e-01,-9.9888862382e-06,7.9557016234e-06,1.5261546286e-01,6.0103223594e-01,2.0601937586e-01,1.9294838820e-01,1.0000000000e-04,5.7659442170e-01,-2.1093606421e-02,-4.8003163762e-02,0.0444086457753107,0.0366913934285487,0.03959014803539369
752,000,1.0010000000e+00,-2.5119057945e-03,2.0399918689e-03,1.0006934000e+00,1.0784603914e-01,-9.9088198448e-06,7.9095978841e-06,1.5281418975e-01,6.0096536351e-01,2.0625342936e-01,1.9278120713e-01,1.0000000000e-04,5.7629204691e-01,-2.1097649028e-02,-4.8014118368e-02,0.044390351227641206,0.03668800315610089,0.03959815722244297
753,000,1.0010000000e+00,-2.5159495307e-03,2.0430327703e-03,1.0006934000e+00,1.0766832788e-01,-9.8268172402e-06,7.8633079775e-06,1.5301280033e-01,6.0110682442e-01,2.0621056241e-01,1.9268261317e-01,1.0000000000e-04,5.7599186268e-01,-2.1101544472e-02,-4.8024746988e-02,0.04437194195974915,0.036687746324919446,0.03960280435231496
754,000,1.0010000000e+00,-2.5200022512e-03,2.0460781930e-03,1.0006934000e+00,1.0748989313e-01,-9.7429858848e-06,7.8167811810e-06,1.5321125323e-01,6.0132030178e-01,2.0627829218e-01,1.9240140604e-01,1.0000000000e-04,5.7569363600e-01,-2.1105294397e-02,-4.8035053484e-02,0.04435341656205394,0.036686571976371735,0.03960815110428344
755,000,1.0010000000e+00,-2.5240656461e-03,2.0491309721e-03,1.0006934000e+00,1.0731080135e-01,-9.6574316830e-06,7.7699681429e-06,1.5340950376e-01,6.0094135802e-01,2.0654749657e-01,1.9251114540e-01,1.0000000000e-04,5.7539715025e-01,-2.1108900765e-02,-4.8045042377e-02,0.04433475741314512,0.03668522672135004,0.03961346280061307
756,000,1.0010000000e+00,-2.5281414549e-03,2.0521940315e-03,1.0006934000e+00,1.0713112396e-01,-9.5702591053e-06,7.7228216187e-06,1.5360750364e-01,6.0074245542e-01,2.0678926612e-01,1.9246827846e-01,1.0000000000e-04,5.7510220394e-01,-2.1112365806e-02,-4.8054718754e-02,0.044315958678784816,0.03668376622878011,0.03961865645429055
757,000,1.0010000000e+00,-2.5322314703e-03,2.0552703885e-03,1.0006934000e+00,1.0695093755e-01,-9.4815713365e-06,7.6752972915e-06,1.5380520066e-01,6.0067386831e-01,2.0687157064e-01,1.9245456104e-01,1.0000000000e-04,5.7480860955e-01,-2.1115691982e-02,-4.8064088173e-02,0.044297035143766914,0.036682211835148956,0.03962373000696792
758,000,1.0010000000e+00,-2.5363375437e-03,2.0583631623e-03,1.0006934000e+00,1.0677032420e-01,-9.3914704398e-06,7.6273546872e-06,1.5400253828e-01,6.0064043210e-01,2.0685785322e-01,1.9250171468e-01,1.0000000000e-04,5.7451619241e-01,-2.1118881947e-02,-4.8073156586e-02,0.044278011357888565,0.036680594642784926,0.03962868166061195
759,000,1.0010000000e+00,-2.5404615913e-03,2.0614755826e-03,1.0006934000e+00,1.0658937179e-01,-9.3000575365e-06,7.5789581961e-06,1.5419945528e-01,6.0055898491e-01,2.0690586420e-01,1.9253515089e-01,1.0000000000e-04,5.7422478971e-01,-2.1121938516e-02,-4.8081930260e-02,0.04425886229593383,0.03667889666556252,0.039633509381764284
760,000,1.0010000000e+00,-2.5446056023e-03,2.0646110022e-03,1.0006934000e+00,1.0640817449e-01,-9.2074329917e-06,7.5300782162e-06,1.5439588520e-01,6.0072959534e-01,2.0697445130e-01,1.9229595336e-01,1.0000000000e-04,5.7393424948e-01,-2.1124864629e-02,-4.8090415714e-02,0.04423959494426852,0.0366771318967185,0.039638211411475846
761,000,1.0010000000e+00,-2.5487716485e-03,2.0677729117e-03,1.0006934000e+00,1.0622683327e-01,-9.1136966051e-06,7.4806924422e-06,1.5459175586e-01,6.0067472565e-01,2.0704218107e-01,1.9228309328e-01,1.0000000000e-04,5.7364442973e-01,-2.1127663333e-02,-4.8098619658e-02,0.04422020703958471,0.036675306758627055,0.039642784546576416
762,000,1.0010000000e+00,-2.5529618960e-03,2.0709649576e-03,1.0006934000e+00,1.0604545657e-01,-9.0189478034e-06,7.4307873292e-06,1.5478698866e-01,6.0048696845e-01,2.0711848422e-01,1.9239454733e-01,1.0000000000e-04,5.7335519756e-01,-2.1130337751e-02,-4.8106548940e-02,0.04420068893734199,0.03667342141471496,0.03964722468961178
763,000,1.0010000000e+00,-2.5571786195e-03,2.0741909642e-03,1.0006934000e+00,1.0586416116e-01,-8.9232858287e-06,7.3803597712e-06,1.5498149778e-01,6.0033350480e-01,2.0721793553e-01,1.9244855967e-01,1.0000000000e-04,5.7306642836e-01,-2.1132891063e-02,-4.8114210498e-02,0.044181037221462174,0.03668764846563291,0.03965225916899539
764,000,1.0010000000e+00,-2.5614242196e-03,2.0774549605e-03,1.0006934000e+00,1.0568307310e-01,-8.8268099261e-06,7.3294190525e-06,1.5517518931e-01,6.0006515775e-01,2.0746484911e-01,1.9246999314e-01,1.0000000000e-04,5.7277800507e-01,-2.1135326489e-02,-4.8121611317e-02,0.04416126187421868,0.03670457721359408,0.03965750809755397
765,000,1.0010000000e+00,-2.5657012428e-03,2.0807612113e-03,1.0006934000e+00,1.0550232898e-01,-8.7296195229e-06,7.2779891438e-06,1.5536796008e-01,6.0002657750e-01,2.0739283265e-01,1.9258058985e-01,1.0000000000e-04,5.7248981749e-01,-2.1137647269e-02,-4.8128758393e-02,0.04414138243309014,0.03672074714009065,0.03966285409417996
766,000,1.0010000000e+00,-2.5700124062e-03,2.0841142562e-03,1.0006934000e+00,1.0532207740e-01,-8.6318144031e-06,7.2261114492e-06,1.5555969635e-01,6.0019804527e-01,2.0739283265e-01,1.9240912209e-01,1.0000000000e-04,5.7220176156e-01,-2.1139856654e-02,-4.8135658696e-02,0.04412139721796256,0.036736163316645955,0.03966830114262377
767,000,1.0010000000e+00,-2.5743606265e-03,2.0875189550e-03,1.0006934000e+00,1.0514248077e-01,-8.5334948756e-06,7.1738481422e-06,1.5575027224e-01,6.0016460905e-01,2.0751543210e-01,1.9231995885e-01,1.0000000000e-04,5.7191373879e-01,-2.1141957886e-02,-4.8142319138e-02,0.04410128411873171,0.03675006346898825,0.039674055399645115
768,000,1.0010000000e+00,-2.5787490551e-03,2.0909805434e-03,1.0006934000e+00,1.0496371751e-01,-8.4347619354e-06,7.1212862876e-06,1.5593954782e-01,6.0014317558e-01,2.0766975309e-01,1.9218707133e-01,1.0000000000e-04,5.7162565563e-01,-2.1143954197e-02,-4.8148746553e-02,0.04408103986521319,0.036748847689548204,0.03967996903538
769,000,1.0010000000e+00,-2.5831811199e-03,2.0945047000e-03,1.0006934000e+00,1.0478598477e-01,-8.3357174201e-06,7.0685430202e-06,1.5612736680e-01,5.9988768861e-01,2.0789180384e-01,1.9222050754e-01,1.0000000000e-04,5.7133742296e-01,-2.1145848789e-02,-4.8154947662e-02,0.044060665187007464,0.0367473418314872,0.03968595809298303
770,000,1.0010000000e+00,-2.5876605762e-03,2.0980976280e-03,1.0006934000e+00,1.0460950174e-01,-8.2364641633e-06,7.0157721650e-06,1.5631355380e-01,5.9996742112e-01,2.0792181070e-01,1.9211076818e-01,1.0000000000e-04,5.7104895551e-01,-2.1147644838e-02,-4.8160929058e-02,0.04404016850160076,0.036745581597687225,0.03969205213450138
771,000,1.0010000000e+00,-2.5921915678e-03,2.1017661557e-03,1.0006934000e+00,1.0443451373e-01,-8.1371061450e-06,6.9631728508e-06,1.5649791099e-01,6.0006858711e-01,2.0799897119e-01,1.9193244170e-01,1.0000000000e-04,5.7076017141e-01,-2.1149345478e-02,-4.8166697178e-02,0.0440195604755318,0.036743579861402434,0.039698247246608
772,000,1.0010000000e+00,-2.5967787020e-03,2.1055178601e-03,1.0006934000e+00,1.0426129735e-01,-8.0377486436e-06,6.9110009239e-06,1.5668021396e-01,5.9991512346e-01,2.0799468450e-01,1.9209019204e-01,1.0000000000e-04,5.7047099168e-01,-2.1150953802e-02,-4.8172258285e-02,0.04399881681751166,0.03674080486456946,0.03970442781561381
773,000,1.0010000000e+00,-2.6014271425e-03,2.1093612232e-03,1.0006934000e+00,1.0409016699e-01,-7.9384983885e-06,6.8595843655e-06,1.5686020674e-01,5.9978737997e-01,2.0815243484e-01,1.9206018519e-01,1.0000000000e-04,5.7018133981e-01,-2.1152472857e-02,-4.8177618443e-02,0.04397792517506003,0.036735917231024165,0.039710011474687036
774,000,1.0010000000e+00,-2.6061427245e-03,2.1133058295e-03,1.0006934000e+00,1.0392148308e-01,-7.8394637136e-06,6.8093445548e-06,1.5703759545e-01,5.9965620713e-01,2.0819444444e-01,1.9214934842e-01,1.0000000000e-04,5.6989114127e-01,-2.1153905641e-02,-4.8182783492e-02,0.0439569037182362,0.03673104139288774,0.03971529624782069
775,000,1.0010000000e+00,-2.6109321010e-03,2.1173626223e-03,1.0006934000e+00,1.0375566292e-01,-7.7407547087e-06,6.7608262835e-06,1.5721204048e-01,5.9973251029e-01,2.0824245542e-01,1.9202503429e-01,1.0000000000e-04,5.6960032316e-01,-2.1155255104e-02,-4.8187759016e-02,0.043935760737643825,0.036726182802488475,0.03972028249677029
776,000,1.0010000000e+00,-2.6158029306e-03,2.1215442421e-03,1.0006934000e+00,1.0359319495e-01,-7.6424833518e-06,6.7147412585e-06,1.5738314629e-01,5.9977537723e-01,2.0831961591e-01,1.9190500686e-01,1.0000000000e-04,5.6930881372e-01,-2.1156524145e-02,-4.8192550307e-02,0.043914473666618756,0.0367213136037982,0.039724973047788284
777,000,1.0010000000e+00,-2.6207641250e-03,2.1258654872e-03,1.0006934000e+00,1.0343465819e-01,-7.5447635938e-06,6.6720331410e-06,1.5755044827e-01,5.9979595336e-01,2.0831189986e-01,1.9189214678e-01,1.0000000000e-04,5.6901654198e-01,-2.1157715618e-02,-4.8197162301e-02,0.043893034328846926,0.03671664690625588,0.03972981669226766
