"concentration","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.70597e-01,1,2.77000e-01,4.85000e-01,2.77000e-01,0.00000e+00
1.71081e-01,1,2.78000e-01,4.85000e-01,2.78000e-01,0.00000e+00
1.71564e-01,1,2.79000e-01,4.85000e-01,2.79000e-01,0.00000e+00
1.72046e-01,1,2.80000e-01,4.85000e-01,2.80000e-01,0.00000e+00
1.72529e-01,1,2.81000e-01,4.85000e-01,2.81000e-01,0.00000e+00
1.73010e-01,1,2.82000e-01,4.85000e-01,2.82000e-01,0.00000e+00
1.73492e-01,1,2.83000e-01,4.85000e-01,2.83000e-01,0.00000e+00
1.73972e-01,1,2.84000e-01,4.85000e-01,2.84000e-01,0.00000e+00
1.74453e-01,1,2.85000e-01,4.85000e-01,2.85000e-01,0.00000e+00
1.74932e-01,1,2.86000e-01,4.85000e-01,2.86000e-01,0.00000e+00
1.75412e-01,1,2.87000e-01,4.85000e-01,2.87000e-01,0.00000e+00
1.75891e-01,1,2.88000e-01,4.85000e-01,2.88000e-01,0.00000e+00
1.76369e-01,1,2.89000e-01,4.85000e-01,2.89000e-01,0.00000e+00
1.76847e-01,1,2.90000e-01,4.85000e-01,2.90000e-01,0.00000e+00
1.77324e-01,1,2.91000e-01,4.85000e-01,2.91000e-01,0.00000e+00
1.77801e-01,1,2.92000e-01,4.85000e-01,2.92000e-01,0.00000e+00
1.78278e-01,1,2.93000e-01,4.85000e-01,2.93000e-01,0.00000e+00
1.78754e-01,1,2.94000e-01,4.85000e-01,2.94000e-01,0.00000e+00
1.79229e-01,1,2.95000e-01,4.85000e-01,2.95000e-01,0.00000e+00
1.79704e-01,1,2.96000e-01,4.85000e-01,2.96000e-01,0.00000e+00
1.80179e-01,1,2.97000e-01,4.85000e-01,2.97000e-01,0.00000e+00
1.80653e-01,1,2.98000e-01,4.85000e-01,2.98000e-01,0.00000e+00
1.81126e-01,1,2.99000e-01,4.85000e-01,2.99000e-01,0.00000e+00
1.81599e-01,1,3.00000e-01,4.85000e-01,3.00000e-01,0.00000e+00
1.82072e-01,1,3.01000e-01,4.85000e-01,3.01000e-01,0.00000e+00
1.82544e-01,1,3.02000e-01,4.85000e-01,3.02000e-01,0.00000e+00
1.83016e-01,1,3.03000e-01,4.85000e-01,3.03000e-01,0.00000e+00
1.83487e-01,1,3.04000e-01,4.85000e-01,3.04000e-01,0.00000e+00
1.83958e-01,1,3.05000e-01,4.85000e-01,3.05000e-01,0.00000e+00
1.84429e-01,1,3.06000e-01,4.85000e-01,3.06000e-01,0.00000e+00
1.84898e-01,1,3.07000e-01,4.85000e-01,3.07000e-01,0.00000e+00
1.85368e-01,1,3.08000e-01,4.85000e-01,3.08000e-01,0.00000e+00
1.85837e-01,1,3.09000e-01,4.85000e-01,3.09000e-01,0.00000e+00
1.86306e-01,1,3.10000e-01,4.85000e-01,3.10000e-01,0.00000e+00
1.86774e-01,1,3.11000e-01,4.85000e-01,3.11000e-01,0.00000e+00
1.87241e-01,1,3.12000e-01,4.85000e-01,3.12000e-01,0.00000e+00
1.87708e-01,1,3.13000e-01,4.85000e-01,3.13000e-01,0.00000e+00
1.88160e-01,1,3.14000e-01,4.85000e-01,3.14000e-01,0.00000e+00
1.88611e-01,1,3.15000e-01,4.85000e-01,3.15000e-01,0.00000e+00
1.89061e-01,1,3.16000e-01,4.85000e-01,3.16000e-01,0.00000e+00
1.89511e-01,1,3.17000e-01,4.85000e-01,3.17000e-01,0.00000e+00
1.89960e-01,1,3.18000e-01,4.85000e-01,3.18000e-01,0.00000e+00
1.90409e-01,1,3.19000e-01,4.85000e-01,3.19000e-01,0.00000e+00
1.90858e-01,1,3.20000e-01,4.85000e-01,3.20000e-01,0.00000e+00
1.91306e-01,1,3.21000e-01,4.85000e-01,3.21000e-01,0.00000e+00
1.91754e-01,1,3.22000e-01,4.85000e-01,3.22000e-01,0.00000e+00
1.92201e-01,1,3.23000e-01,4.85000e-01,3.23000e-01,0.00000e+00
1.92648e-01,1,3.24000e-01,4.85000e-01,3.24000e-01,0.00000e+00
1.93095e-01,1,3.25000e-01,4.85000e-01,3.25000e-01,0.00000e+00
1.93541e-01,1,3.26000e-01,4.85000e-01,3.26000e-01,0.00000e+00
1.93987e-01,1,3.27000e-01,4.85000e-01,3.27000e-01,0.00000e+00
1.94432e-01,1,3.28000e-01,4.85000e-01,3.28000e-01,0.00000e+00
