"concentration","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.21481e-01,1,1.83000e-01,1.83000e-01,5.15000e-01,0.00000e+00
3.21290e-01,1,1.84000e-01,1.84000e-01,5.15000e-01,0.00000e+00
3.21099e-01,1,1.85000e-01,1.85000e-01,5.15000e-01,0.00000e+00
3.20909e-01,1,1.86000e-01,1.86000e-01,5.15000e-01,0.00000e+00
3.20720e-01,1,1.87000e-01,1.87000e-01,5.15000e-01,0.00000e+00
3.20532e-01,1,1.88000e-01,1.88000e-01,5.15000e-01,0.00000e+00
3.20344e-01,1,1.89000e-01,1.89000e-01,5.15000e-01,0.00000e+00
3.20157e-01,1,1.90000e-01,1.90000e-01,5.15000e-01,0.00000e+00
3.19971e-01,1,1.91000e-01,1.91000e-01,5.15000e-01,0.00000e+00
3.19786e-01,1,1.92000e-01,1.92000e-01,5.15000e-01,0.00000e+00
3.19602e-01,1,1.93000e-01,1.93000e-01,5.15000e-01,0.00000e+00
3.19418e-01,1,1.94000e-01,1.94000e-01,5.15000e-01,0.00000e+00
3.19235e-01,1,1.95000e-01,1.95000e-01,5.15000e-01,0.00000e+00
3.19052e-01,1,1.96000e-01,1.96000e-01,5.15000e-01,0.00000e+00
3.18871e-01,1,1.97000e-01,1.97000e-01,5.15000e-01,0.00000e+00
3.18690e-01,1,1.98000e-01,1.98000e-01,5.15000e-01,0.00000e+00
3.18510e-01,1,1.99000e-01,1.99000e-01,5.15000e-01,0.00000e+00
3.18330e-01,1,2.00000e-01,2.00000e-01,5.15000e-01,0.00000e+00
3.18151e-01,1,2.01000e-01,2.01000e-01,5.15000e-01,0.00000e+00
3.17973e-01,1,2.02000e-01,2.02000e-01,5.15000e-01,0.00000e+00
3.17795e-01,1,2.03000e-01,2.03000e-01,5.15000e-01,0.00000e+00
3.17619e-01,1,2.04000e-01,2.04000e-01,5.15000e-01,0.00000e+00
3.17443e-01,1,2.05000e-01,2.05000e-01,5.15000e-01,0.00000e+00
3.17267e-01,1,2.06000e-01,2.06000e-01,5.15000e-01,0.00000e+00
3.17092e-01,1,2.07000e-01,2.07000e-01,5.15000e-01,0.00000e+00
3.16918e-01,1,2.08000e-01,2.08000e-01,5.15000e-01,0.00000e+00
3.16745e-01,1,2.09000e-01,2.09000e-01,5.15000e-01,0.00000e+00
3.16573e-01,1,2.10000e-01,2.10000e-01,5.15000e-01,0.00000e+00
3.16401e-01,1,2.11000e-01,2.11000e-01,5.15000e-01,0.00000e+00
3.16229e-01,1,2.12000e-01,2.12000e-01,5.15000e-01,0.00000e+00
3.16059e-01,1,2.13000e-01,2.13000e-01,5.15000e-01,0.00000e+00
3.15889e-01,1,2.14000e-01,2.14000e-01,5.15000e-01,0.00000e+00
3.15720e-01,1,2.15000e-01,2.15000e-01,5.15000e-01,0.00000e+00
3.15551e-01,1,2.16000e-01,2.16000e-01,5.15000e-01,0.00000e+00
3.15384e-01,1,2.17000e-01,2.17000e-01,5.15000e-01,0.00000e+00
3.15217e-01,1,2.18000e-01,2.18000e-01,5.15000e-01,0.00000e+00
3.15050e-01,1,2.19000e-01,2.19000e-01,5.15000e-01,0.00000e+00
3.14884e-01,1,2.20000e-01,2.20000e-01,5.15000e-01,0.00000e+00
3.14719e-01,1,2.21000e-01,2.21000e-01,5.15000e-01,0.00000e+00
3.14555e-01,1,2.22000e-01,2.22000e-01,5.15000e-01,0.00000e+00
3.14391e-01,1,2.23000e-01,2.23000e-01,5.15000e-01,0.00000e+00
3.14228e-01,1,2.24000e-01,2.24000e-01,5.15000e-01,0.00000e+00
3.14066e-01,1,2.25000e-01,2.25000e-01,5.15000e-01,0.00000e+00
3.13904e-01,1,2.26000e-01,2.26000e-01,5.15000e-01,0.00000e+00
3.13743e-01,1,2.27000e-01,2.27000e-01,5.15000e-01,0.00000e+00
3.13582e-01,1,2.28000e-01,2.28000e-01,5.15000e-01,0.00000e+00
3.13423e-01,1,2.29000e-01,2.29000e-01,5.15000e-01,0.00000e+00
3.13264e-01,1,2.30000e-01,2.30000e-01,5.15000e-01,0.00000e+00
3.13105e-01,1,2.31000e-01,2.31000e-01,5.15000e-01,0.00000e+00
3.12947e-01,1,2.32000e-01,2.32000e-01,5.15000e-01,0.00000e+00
3.12790e-01,1,2.33000e-01,2.33000e-01,5.15000e-01,0.00000e+00
3.12634e-01,1,2.34000e-01,2.34000e-01,5.15000e-01,0.00000e+00
3.12478e-01,1,2.35000e-01,2.35000e-01,5.15000e-01,0.00000e+00
3.12322e-01,1,2.36000e-01,2.36000e-01,5.15000e-01,0.00000e+00
3.12167e-01,1,2.37000e-01,2.37000e-01,5.15000e-01,0.00000e+00
3.12013e-01,1,2.38000e-01,2.38000e-01,5.15000e-01,0.00000e+00
3.11859e-01,1,2.39000e-01,2.39000e-01,5.15000e-01,0.00000e+00
3.11706e-01,1,2.40000e-01,2.40000e-01,5.15000e-01,0.00000e+00
3.11554e-01,1,2.41000e-01,2.41000e-01,5.15000e-01,0.00000e+00
3.11402e-01,1,2.42000e-01,2.42000e-01,5.15000e-01,0.00000e+00
3.11251e-01,1,2.43000e-01,2.43000e-01,5.15000e-01,0.00000e+00
3.11100e-01,1,2.44000e-01,2.44000e-01,5.15000e-01,0.00000e+00
3.10950e-01,1,2.45000e-01,2.45000e-01,5.15000e-01,0.00000e+00
3.10801e-01,1,2.46000e-01,2.46000e-01,5.15000e-01,0.00000e+00
3.10652e-01,1,2.47000e-01,2.47000e-01,5.15000e-01,0.00000e+00
3.10504e-01,1,2.48000e-01,2.48000e-01,5.15000e-01,0.00000e+00
3.10356e-01,1,2.49000e-01,2.49000e-01,5.15000e-01,0.00000e+00
3.10209e-01,1,2.50000e-01,2.50000e-01,5.15000e-01,0.00000e+00
3.10063e-01,1,2.51000e-01,2.51000e-01,5.15000e-01,0.00000e+00
3.09917e-01,1,2.52000e-01,2.52000e-01,5.15000e-01,0.00000e+00
3.09772e-01,1,2.53000e-01,2.53000e-01,5.15000e-01,0.00000e+00
3.09628e-01,1,2.54000e-01,2.54000e-01,5.15000e-01,0.00000e+00
3.09482e-01,1,2.55000e-01,2.55000e-01,5.15000e-01,0.00000e+00
3.09335e-01,1,2.56000e-01,2.56000e-01,5.15000e-01,0.00000e+00
3.09188e-01,1,2.57000e-01,2.57000e-01,5.15000e-01,0.00000e+00
3.09041e-01,1,2.58000e-01,2.58000e-01,5.15000e-01,0.00000e+00
3.08896e-01,1,2.59000e-01,2.59000e-01,5.15000e-01,0.00000e+00
3.08750e-01,1,2.60000e-01,2.60000e-01,5.15000e-01,0.00000e+00
3.08606e-01,1,2.61000e-01,2.61000e-01,5.15000e-01,0.00000e+00
3.08462e-01,1,2.62000e-01,2.62000e-01,5.15000e-01,0.00000e+00
3.08319e-01,1,2.63000e-01,2.63000e-01,5.15000e-01,0.00000e+00
3.08176e-01,1,2.64000e-01,2.64000e-01,5.15000e-01,0.00000e+00
3.08034e-01,1,2.65000e-01,2.65000e-01,5.15000e-01,0.00000e+00
3.07892e-01,1,2.66000e-01,2.66000e-01,5.15000e-01,0.00000e+00
3.07751e-01,1,2.67000e-01,2.67000e-01,5.15000e-01,0.00000e+00
3.07611e-01,1,2.68000e-01,2.68000e-01,5.15000e-01,0.00000e+00
3.07472e-01,1,2.69000e-01,2.69000e-01,5.15000e-01,0.00000e+00
3.07332e-01,1,2.70000e-01,2.70000e-01,5.15000e-01,0.00000e+00
3.07194e-01,1,2.71000e-01,2.71000e-01,5.15000e-01,0.00000e+00
3.07056e-01,1,2.72000e-01,2.72000e-01,5.15000e-01,0.00000e+00
3.06919e-01,1,2.73000e-01,2.73000e-01,5.15000e-01,0.00000e+00
3.06782e-01,1,2.74000e-01,2.74000e-01,5.15000e-01,0.00000e+00
3.06646e-01,1,2.75000e-01,2.75000e-01,5.15000e-01,0.00000e+00
3.06511e-01,1,2.76000e-01,2.76000e-01,5.15000e-01,0.00000e+00
3.06376e-01,1,2.77000e-01,2.77000e-01,5.15000e-01,0.00000e+00
3.06242e-01,1,2.78000e-01,2.78000e-01,5.15000e-01,0.00000e+00
3.06108e-01,1,2.79000e-01,2.79000e-01,5.15000e-01,0.00000e+00
3.05975e-01,1,2.80000e-01,2.80000e-01,5.15000e-01,0.00000e+00
3.05842e-01,1,2.81000e-01,2.81000e-01,5.15000e-01,0.00000e+00
3.05710e-01,1,2.82000e-01,2.82000e-01,5.15000e-01,0.00000e+00
3.05579e-01,1,2.83000e-01,2.83000e-01,5.15000e-01,0.00000e+00
3.05448e-01,1,2.84000e-01,2.84000e-01,5.15000e-01,0.00000e+00
3.05318e-01,1,2.85000e-01,2.85000e-01,5.15000e-01,0.00000e+00
3.05188e-01,1,2.86000e-01,2.86000e-01,5.15000e-01,0.00000e+00
3.05059e-01,1,2.87000e-01,2.87000e-01,5.15000e-01,0.00000e+00
3.04930e-01,1,2.88000e-01,2.88000e-01,5.15000e-01,0.00000e+00
3.04802e-01,1,2.89000e-01,2.89000e-01,5.15000e-01,0.00000e+00
3.04675e-01,1,2.90000e-01,2.90000e-01,5.15000e-01,0.00000e+00
